,avg_salary
339,52.5
184,59.0
380,87.5
117,95.0
518,162.0
457,114.0
544,70.5
667,173.0
280,101.0
411,71.5
447,107.0
297,121.0
548,79.5
166,120.0
181,120.0
127,40.5
670,95.0
696,64.0
58,73.5
571,91.5
2,85.0
211,72.5
528,254.0
631,136.5
68,128.5
489,87.0
668,52.5
46,184.5
414,62.5
656,114.0
607,140.0
658,96.0
106,56.5
257,71.5
271,27.5
740,127.5
283,169.0
463,110.5
13,65.5
493,52.5
385,85.0
558,93.5
171,51.5
422,75.5
703,99.0
369,90.0
40,88.0
681,194.0
726,70.5
425,92.0
201,98.0
331,103.5
16,102.0
76,150.5
647,96.5
191,93.5
247,50.0
506,128.5
83,77.5
383,62.5
365,70.5
688,113.0
9,140.0
552,138.5
348,142.5
579,121.5
467,84.5
555,84.5
406,94.5
99,133.0
93,106.5
685,69.5
418,139.0
733,138.5
486,86.0
564,60.0
534,99.5
471,181.0
720,54.0
586,70.5
491,80.0
731,90.0
89,48.0
145,87.0
699,140.0
568,87.5
118,119.5
604,87.5
535,45.5
533,27.5
214,84.5
689,103.0
638,107.5
442,44.0
268,98.5
704,54.0
376,60.0
410,194.5
683,50.0
538,37.5
17,153.5
398,81.0
492,21.5
266,225.0
395,162.0
170,71.5
514,153.0
7,114.0
53,115.0
468,71.0
724,26.5
4,114.5
501,111.5
652,62.5
329,61.0
96,97.5
71,179.5
386,122.0
678,97.5
86,139.0
449,113.5
431,82.0
19,87.5
209,65.0
132,81.5
524,54.0
208,100.5
503,154.5
614,119.0
74,98.0
407,119.0
172,151.5
584,60.5
84,87.0
620,105.5
710,106.5
204,81.0
498,95.0
272,147.0
162,107.0
242,120.0
309,92.0
220,169.0
409,13.5
33,121.0
729,70.0
28,84.0
569,97.0
69,97.5
434,127.0
65,118.0
738,102.5
488,154.5
377,180.0
304,110.0
626,147.5
39,106.0
379,112.5
580,62.5
327,112.5
736,111.5
129,81.0
20,105.5
67,56.5
156,142.0
637,167.5
588,66.5
583,85.0
371,73.5
288,139.0
133,168.0
293,81.0
75,128.0
651,67.0
306,70.5
258,108.0
650,139.5
711,27.5
332,63.0
97,99.0
504,124.0
47,29.5
182,124.5
128,89.5
445,109.0
578,121.0
675,111.5
289,102.5
158,107.0
44,130.0
207,89.0
394,107.5
326,107.0
609,120.0
279,96.0
362,77.5
334,94.5
284,124.5
130,147.0
570,112.5
541,77.5
522,133.5
21,96.0
591,81.0
278,99.5
539,53.5
697,47.0
633,121.0
221,142.0
695,86.5
176,225.0
728,80.0
499,69.5
388,70.5
397,110.5
717,45.5
645,37.0
391,120.5
392,81.0
194,84.5
694,123.5
600,162.0
215,87.5
254,84.0
654,66.0
402,43.0
273,90.0
124,62.0
567,94.0
318,149.5
460,87.0
581,117.5
353,109.0
264,109.0
435,85.5
305,91.5
432,84.5
354,254.0
440,164.5
602,110.5
142,103.5
294,133.0
169,87.5
480,63.0
399,130.0
197,21.5
192,134.5
79,113.5
116,107.5
78,110.0
496,172.0
718,122.5
36,107.0
250,150.5
505,95.0
387,66.5
566,65.0
690,90.5
